stage,accuracy,val_accuracy,loss,val_loss,auc,val_auc
stage1,0.49494948983192444,0.6081771850585938,0.7158246040344238,0.6867101788520813,0.49579232931137085,0.5
stage1,0.4747474789619446,0.39182281494140625,0.6990289688110352,0.7016094326972961,0.4848024547100067,0.5
stage1,0.5032938122749329,0.39182281494140625,0.6956949830055237,0.6992790102958679,0.4927237927913666,0.5
stage1,0.45761966705322266,0.39182281494140625,0.695626974105835,0.694784939289093,0.4933859407901764,0.5
stage1,0.5081247091293335,0.39182281494140625,0.6943504214286804,0.6965119242668152,0.507299542427063,0.5
stage1,0.417654812335968,0.39182281494140625,0.694460391998291,0.6955666542053223,0.5030959248542786,0.5
stage2,0.5107597708702087,0.6081771850585938,0.7063286304473877,0.6911824941635132,0.5149703621864319,0.5
stage2,0.5050504803657532,0.39182281494140625,0.6966308355331421,0.6940803527832031,0.521592378616333,0.518414318561554
stage2,0.47870004177093506,0.6081771850585938,0.7015172243118286,0.6908178925514221,0.47854089736938477,0.5014005899429321
stage2,0.4729907810688019,0.39182281494140625,0.7003445029258728,0.7006406188011169,0.4871751070022583,0.4996894598007202
stage2,0.5037329792976379,0.39182281494140625,0.6979176998138428,0.6945099830627441,0.5040613412857056,0.5020278096199036
stage2,0.47870004177093506,0.39182281494140625,0.6970992684364319,0.7014502882957458,0.49363693594932556,0.5273474454879761
stage2,0.4707949161529541,0.6081771850585938,0.6974018216133118,0.6922973394393921,0.4991641640663147,0.513506293296814
stage2,0.486605167388916,0.39182281494140625,0.7001113295555115,0.702340304851532,0.4918847680091858,0.5044391751289368
stage2,0.5037329792976379,0.6081771850585938,0.6973032355308533,0.69109046459198,0.5040859580039978,0.5
stage2,0.5059288740158081,0.39182281494140625,0.6976004242897034,0.6942163109779358,0.5039733648300171,0.5244671702384949
