stage,accuracy,val_accuracy,loss,val_loss,auc,val_auc
stage1,0.512077271938324,0.39182281494140625,0.7330615520477295,0.699906587600708,0.5123466849327087,0.6520034074783325
stage1,0.49626702070236206,0.3952299952507019,0.7235463261604309,0.6992132663726807,0.4948553740978241,0.6904883980751038
stage1,0.5173473954200745,0.4037478566169739,0.7004039883613586,0.6979101896286011,0.5341333150863647,0.7086043357849121
stage1,0.5221782922744751,0.4463373124599457,0.7009109854698181,0.6936317682266235,0.5258777737617493,0.7130312919616699
stage1,0.529644250869751,0.3952299952507019,0.6956693530082703,0.699658989906311,0.5409369468688965,0.7097064852714539
stage1,0.530961811542511,0.49744462966918945,0.6936973333358765,0.6924520134925842,0.5446231365203857,0.7015649676322937
stage1,0.5234958529472351,0.6678023934364319,0.6950065493583679,0.6777125597000122,0.5372879505157471,0.7064181566238403
stage1,0.5384277701377869,0.6149914860725403,0.6876137852668762,0.6844470500946045,0.5650390982627869,0.703769326210022
stage1,0.5375494360923767,0.6609880924224854,0.6879541277885437,0.6781836152076721,0.5631723403930664,0.7090122699737549
stage2,0.5441370010375977,0.5655877590179443,0.6898042559623718,0.6863936185836792,0.5729461908340454,0.7191998362541199
stage2,0.5827843546867371,0.6575809121131897,0.6756135821342468,0.6369817852973938,0.6154928207397461,0.7292230129241943
stage2,0.6166008114814758,0.6558773517608643,0.6599437594413757,0.6290625333786011,0.6546359658241272,0.7417305707931519
stage2,0.6214317083358765,0.6388415694236755,0.6546931862831116,0.6065479516983032,0.6636203527450562,0.7282912731170654
stage2,0.6284584999084473,0.6695059537887573,0.6487591862678528,0.597024142742157,0.6772140264511108,0.7554256916046143
stage2,0.6166008114814758,0.6678023934364319,0.643957257270813,0.6233157515525818,0.6750236749649048,0.7594141960144043
stage2,0.6262626051902771,0.6746166944503784,0.6398736834526062,0.5797908902168274,0.680331289768219,0.7606138586997986
stage2,0.6407553553581238,0.6746166944503784,0.6305224299430847,0.5843294858932495,0.6954495906829834,0.7639386057853699
stage2,0.660518229007721,0.6933560371398926,0.6239657402038574,0.5764439105987549,0.7104302644729614,0.7795335650444031
stage2,0.6455863118171692,0.6541737914085388,0.6271922588348389,0.6117139458656311,0.6980233192443848,0.7738826274871826
stage2,0.6574440002441406,0.6899489164352417,0.6143969893455505,0.6051207184791565,0.7101693153381348,0.7754597663879395
stage2,0.6477821469306946,0.6984667778015137,0.6170798540115356,0.5459352731704712,0.7133607864379883,0.7794300317764282
stage2,0.6627141237258911,0.6899489164352417,0.5998086929321289,0.5602012276649475,0.7312842607498169,0.7805017232894897
stage2,0.6881862282752991,0.6831345558166504,0.5856287479400635,0.5578683614730835,0.7482835650444031,0.7821642160415649
stage2,0.678524374961853,0.6439523100852966,0.5833624005317688,0.6087228655815125,0.7528904676437378,0.7752770185470581
stage3,0.6754501461982727,0.681430995464325,0.5814696550369263,0.554543673992157,0.7527283430099487,0.7838935256004333
stage3,0.6859903335571289,0.7035775184631348,0.5698369145393372,0.5419375896453857,0.7616028189659119,0.783528208732605
stage3,0.7009222507476807,0.6967632174491882,0.5602630972862244,0.5392051935195923,0.7777048349380493,0.7848130464553833
stage3,0.6903820633888245,0.6848381757736206,0.5733280181884766,0.550464391708374,0.760367751121521,0.7873888611793518
stage3,0.6965305209159851,0.695059597492218,0.561110258102417,0.5407025814056396,0.7750054597854614,0.7897027730941772
stage3,0.6912604570388794,0.7035775184631348,0.569562554359436,0.5365187525749207,0.7660675048828125,0.789008617401123
stage3,0.6934562921524048,0.6984667778015137,0.569196343421936,0.5509366393089294,0.7618855237960815,0.7898916006088257
stage3,0.6947738528251648,0.6831345558166504,0.5625152587890625,0.5638339519500732,0.7713623642921448,0.7896602153778076
stage3,0.6855511665344238,0.7035775184631348,0.5687171220779419,0.5374762415885925,0.7664718627929688,0.789361834526062
stage3,0.6916996240615845,0.7069846391677856,0.5649911761283875,0.539233922958374,0.7708144187927246,0.7886371612548828
stage3,0.7035573124885559,0.6933560371398926,0.5499748587608337,0.5511292219161987,0.7816528081893921,0.7894896864891052
stage3,0.7101449370384216,0.713798999786377,0.5482306480407715,0.5428097248077393,0.7865440845489502,0.7921934127807617
stage3,0.7101449370384216,0.6848381757736206,0.5606981515884399,0.5541465878486633,0.7715031504631042,0.7908110618591309
stage3,0.7035573124885559,0.713798999786377,0.551457405090332,0.5378280878067017,0.7859552502632141,0.7924125790596008
stage3,0.7079490423202515,0.7172061204910278,0.5614431500434875,0.5417336821556091,0.7740328311920166,0.7926074862480164
