accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
0.513394832611084,0.5148002505302429,0.6944270133972168,0.6081771850585938,0.5,0.6901035308837891,0.0010000000474974513
0.5010979175567627,0.5331991910934448,0.6909506916999817,0.6081771850585938,0.5979661345481873,0.687081515789032,0.0010000000474974513
0.5849802494049072,0.5563663840293884,0.6931300759315491,0.6507666110992432,0.6477711796760559,0.6824617385864258,0.0010000000474974513
0.5704874992370605,0.579712450504303,0.6864281296730042,0.6643952131271362,0.6554499864578247,0.6747905015945435,0.0010000000474974513
0.5845410823822021,0.5932914614677429,0.6830360293388367,0.6558773517608643,0.6568992733955383,0.6651339530944824,0.0010000000474974513
0.5933245420455933,0.588395893573761,0.6821639537811279,0.6081771850585938,0.6700888872146606,0.6834948062896729,0.0010000000474974513
0.5638998746871948,0.5611220598220825,0.6889362335205078,0.6183986663818359,0.6586591005325317,0.6779054403305054,0.0010000000474974513
0.5946420431137085,0.6009237766265869,0.6827617287635803,0.6201022267341614,0.6570149660110474,0.6761119365692139,0.0010000000474974513
0.5884936451911926,0.6092954874038696,0.6762815117835999,0.6439523100852966,0.6595299243927002,0.659465491771698,0.0005000000237487257
0.5858585834503174,0.6044954657554626,0.678210437297821,0.6218057870864868,0.6557666063308716,0.6694236397743225,0.0005000000237487257
0.5928853750228882,0.6071892976760864,0.6787164211273193,0.5809199213981628,0.6526244878768921,0.6814442873001099,0.0005000000237487257
